date_[y],h_[m]
1994.004109589041,986.736812159419
1994.0068493150684,986.731856330298
1994.009589041096,986.735183663666
1994.0123287671233,986.735752968118
1994.0150684931507,986.737398044206
1994.017808219178,986.729623865336
1994.0205479452054,986.728807686828
1994.0232876712328,986.726612070575
1994.0260273972603,986.730957162566
1994.0287671232877,986.71979935281
1994.031506849315,986.716581457295
1994.0342465753424,986.726023549214
1994.0369863013698,986.728761737235
1994.0397260273974,986.730779837817
1994.0424657534247,986.733041023836
1994.045205479452,986.723727321252
1994.0479452054794,986.726383340545
1994.0506849315068,986.729119312949
1994.0534246575342,986.726143058389
1994.0561643835617,986.729885991663
1994.058904109589,986.732246548869
1994.0616438356165,986.733947780915
1994.0643835616438,986.733508788049
1994.0671232876712,986.73091753386
1994.0698630136985,986.7377152564
1994.072602739726,986.728619173169
1994.0753424657535,986.728883609176
1994.0780821917808,986.730826345272
1994.0808219178082,986.729521899484
1994.0835616438355,986.714662996121
1994.0863013698631,986.7190950308
1994.0890410958905,986.722479799762
1994.0917808219178,986.73705633264
1994.0945205479452,986.724411596544
1994.0972602739726,986.736167779192
1994.1,986.729256632738
1994.1027397260275,986.731975863688
1994.1054794520549,986.727137601934
1994.1082191780822,986.726022196934
1994.1109589041096,986.728169951588
1994.113698630137,986.729597791098
1994.1164383561643,986.717632098123
1994.1191780821919,986.719856671989
1994.1219178082192,986.719589899294
1994.1246575342466,986.721054584719
1994.127397260274,986.725677764043
1994.1301369863013,986.732345552184
1994.1328767123289,986.743469174951
1994.1356164383562,986.728121923283
1994.1383561643836,986.732968174852
1994.141095890411,986.719280615449
1994.1438356164383,986.733387613669
1994.1465753424657,986.72984521836
1994.1493150684933,986.733401471749
1994.1520547945206,986.737593705766
1994.154794520548,986.733415346593
1994.1575342465753,986.732120084576
1994.1602739726027,986.721280752681
1994.16301369863,986.716042336076
1994.1657534246576,986.729636736214
1994.168493150685,986.725056986324
1994.1712328767123,986.727472535335
1994.1739726027397,986.731885351241
1994.176712328767,986.72542397771
1994.1794520547944,986.723146625794
1994.182191780822,986.733188294806
1994.1849315068494,986.734919886105
1994.1876712328767,986.720771444961
1994.190410958904,986.721899678931
1994.1931506849314,986.733410975896
1994.195890410959,986.728363640606
1994.1986301369864,986.730504325591
1994.2013698630137,986.727443318814
1994.204109589041,986.732326174155
1994.2068493150684,986.721831013449
1994.2095890410958,986.734915138222
1994.2123287671234,986.738927303813
1994.2150684931507,986.732477623969
1994.217808219178,986.724105451256
1994.2205479452055,986.742821764201
1994.2232876712328,986.730913740583
1994.2260273972602,986.736816148274
1994.2287671232878,986.740303423256
1994.231506849315,986.731707148254
1994.2342465753425,986.733596353792
1994.2369863013698,986.726016858593
1994.2397260273972,986.721597851254
1994.2424657534248,986.724914984778
1994.2452054794521,986.733967446722
1994.2479452054795,986.735251691192
1994.2506849315068,986.739189609885
1994.2534246575342,986.725763170049
1994.2561643835616,986.745696879923
1994.2589041095891,986.734633191489
1994.2616438356165,986.727232838981
1994.2643835616439,986.725106200203
1994.2671232876712,986.720833893865
1994.2698630136986,986.745541499928
1994.272602739726,986.736787853763
1994.2753424657535,986.731592678465
1994.2780821917809,986.73124271445
1994.2808219178082,986.726833488792
1994.2835616438356,986.729240313172
1994.286301369863,986.729862890206
1994.2890410958903,986.735153998248
1994.2917808219179,986.732608011924
1994.2945205479452,986.730636401102
1994.2972602739726,986.729372089729
1994.3,986.726131761447
1994.3027397260273,986.733724895865
1994.305479452055,986.737347628921
1994.3082191780823,986.746025369503
1994.3109589041096,986.73415469192
1994.313698630137,986.746060532518
1994.3164383561643,986.730075662956
1994.3191780821917,986.739863698371
1994.3219178082193,986.73336810898
1994.3246575342466,986.726818041876
1994.327397260274,986.725284653716
1994.3301369863013,986.73178835772
1994.3328767123287,986.733220849186
1994.335616438356,986.738836803474
1994.3383561643836,986.741337141953
1994.341095890411,986.739148879424
1994.3438356164384,986.738428591751
1994.3465753424657,986.738648452796
1994.349315068493,986.736143744551
1994.3520547945207,986.728887712583
1994.354794520548,986.728883839212
1994.3575342465754,986.728893007152
1994.3602739726027,986.732523308136
1994.36301369863,986.736893763766
1994.3657534246574,986.739447908476
1994.368493150685,986.733754678629
1994.3712328767124,986.740088493563
1994.3739726027397,986.731466018595
1994.376712328767,986.739836306311
1994.3794520547945,986.733575976454
1994.3821917808218,986.731028645299
1994.3849315068494,986.733625152148
1994.3876712328768,986.733857444488
1994.390410958904,986.731628451496
1994.3931506849315,986.734729115851
1994.3958904109588,986.737383556552
1994.3986301369864,986.735658221878
1994.4013698630138,986.741451794282
1994.4041095890411,986.745157969184
1994.4068493150685,986.731613924727
1994.4095890410958,986.732924512587
1994.4123287671232,986.73608042486
1994.4150684931508,986.735912367702
1994.4178082191781,986.734646467492
1994.4205479452055,986.731778438203
1994.4232876712329,986.739749766886
1994.4260273972602,986.740031851456
1994.4287671232876,986.747248601168
1994.4315068493152,986.738149146549
1994.4342465753425,986.733290326782
1994.4369863013699,986.734058095142
1994.4397260273972,986.736801954918
1994.4424657534246,986.73283622507
1994.445205479452,986.732155214995
1994.4479452054795,986.737870464101
1994.4506849315069,986.7524325829
1994.4534246575342,986.732863742858
1994.4561643835616,986.749429878779
1994.458904109589,986.742544360459
1994.4616438356165,986.749766670167
1994.464383561644,986.732535068877
1994.4671232876713,986.737395573407
1994.4698630136986,986.741996979341
1994.472602739726,986.73725534603
1994.4753424657533,986.742015527561
1994.478082191781,986.742474180646
1994.4808219178083,986.742617907934
1994.4835616438356,986.733676623553
1994.486301369863,986.737644309178
1994.4890410958903,986.738877799362
1994.4917808219177,986.747507452965
1994.4945205479453,986.739037194289
1994.4972602739726,986.744896843098
1994.5,986.727691140026
1994.5027397260274,986.742355588824
1994.5054794520547,986.747491679154
1994.5082191780823,986.742180778645
1994.5109589041097,986.73473618459
1994.513698630137,986.739871675149
1994.5164383561644,986.736698806286
1994.5191780821917,986.734619188122
1994.521917808219,986.728433492593
1994.5246575342467,986.73620863352
1994.527397260274,986.736482630484
1994.5301369863014,986.737902840599
1994.5328767123287,986.736180317588
1994.535616438356,986.740974076092
1994.5383561643835,986.737164570019
1994.541095890411,986.737679717131
1994.5438356164384,986.728749821894
1994.5465753424658,986.733131784014
1994.5493150684931,986.732172945514
1994.5520547945205,986.738078942522
1994.554794520548,986.739516707137
1994.5575342465754,986.742984443903
1994.5602739726028,986.730563020334
1994.5630136986301,986.739385552704
1994.5657534246575,986.731397573836
1994.5684931506848,986.737682452425
1994.5712328767124,986.73923534248
1994.5739726027398,986.737037464045
1994.5767123287671,986.740151640028
1994.5794520547945,986.740900334902
1994.5821917808219,986.736916702241
1994.5849315068492,986.741094507277
1994.5876712328768,986.735778762028
1994.5904109589042,986.734382051043
1994.5931506849315,986.73921647761
1994.5958904109589,986.743717554025
1994.5986301369862,986.740330587141
1994.6013698630136,986.742218369618
1994.6041095890412,986.746120665222
1994.6068493150685,986.737376370467
1994.609589041096,986.73442483414
1994.6123287671232,986.741224624217
1994.6150684931506,986.741555230692
1994.6178082191782,986.739676323719
1994.6205479452055,986.738550730981
1994.623287671233,986.739653918892
1994.6260273972603,986.744298298843
1994.6287671232876,986.73960695602
1994.631506849315,986.741675735451
1994.6342465753426,986.737180870958
1994.63698630137,986.739904841408
1994.6397260273973,986.741453157738
1994.6424657534246,986.739089603536
1994.645205479452,986.742339435965
1994.6479452054793,986.738051634282
1994.650684931507,986.731887285598
1994.6534246575343,986.745799932629
1994.6561643835616,986.742358692922
1994.658904109589,986.738820615225
1994.6616438356164,986.745529762469
1994.664383561644,986.740658415481
1994.6671232876713,986.73860756401
1994.6698630136987,986.737889971584
1994.672602739726,986.735482539982
1994.6753424657534,986.741295612417
1994.6780821917807,986.741347665899
1994.6808219178083,986.736279824749
1994.6835616438357,986.743149966002
1994.686301369863,986.745277085342
1994.6890410958904,986.753003166988
1994.6917808219177,986.739762291312
1994.694520547945,986.74027418904
1994.6972602739727,986.744202638045
1994.7,986.742385347374
1994.7027397260274,986.742440754548
1994.7054794520548,986.742403017357
1994.7082191780821,986.74202772323
1994.7109589041097,986.744992220774
1994.713698630137,986.737304239534
1994.7164383561644,986.738282294013
1994.7219178082191,986.738839553669
1994.7246575342465,986.742269718088
1994.727397260274,986.747106852941
1994.7301369863014,986.729998601601
1994.7328767123288,986.736416274682
1994.7356164383561,986.739449429326
1994.7383561643835,986.739872936159
1994.7410958904109,986.738927097991
1994.7438356164384,986.737379786558
1994.7465753424658,986.744123305194
1994.7493150684932,986.741975278594
1994.7520547945205,986.748401571997
1994.7547945205479,986.738790108822
1994.7575342465752,986.740395282395
1994.7602739726028,986.752692858689
1994.7630136986302,986.740378792398
1994.7657534246575,986.739773199894
1994.768493150685,986.73392651882
1994.7712328767122,986.735372805968
1994.7739726027398,986.737562508322
1994.7767123287672,986.739616746083
1994.7794520547945,986.736606488936
1994.782191780822,986.743012021296
1994.7849315068493,986.742479735985
1994.7876712328766,986.74247106351
1994.7904109589042,986.738959377632
1994.7931506849316,986.739465688355
1994.795890410959,986.738116715103
1994.7986301369863,986.736852437258
1994.8013698630136,986.741410945542
1994.804109589041,986.735673105344
1994.8068493150686,986.731139683165
1994.809589041096,986.741410871968
1994.8123287671233,986.736409156583
1994.8150684931506,986.740569128655
1994.817808219178,986.734731766395
1994.8205479452056,986.731610476971
1994.823287671233,986.735191727057
1994.8260273972603,986.735447804444
1994.8287671232877,986.733067248017
1994.831506849315,986.73239955958
1994.8342465753424,986.737314797938
1994.83698630137,986.743665127084
1994.8397260273973,986.734723403119
1994.8424657534247,986.735240596347
1994.845205479452,986.733611758798
1994.8479452054794,986.740570782684
1994.8506849315067,986.734146773815
1994.8534246575343,986.732748931274
1994.8561643835617,986.738772613928
1994.858904109589,986.734062312171
1994.8616438356164,986.74473922886
1994.8643835616438,986.736410583369
1994.8671232876711,986.731265025213
1994.8698630136987,986.728338276036
1994.872602739726,986.733703501523
1994.8753424657534,986.738600351848
1994.8780821917808,986.729149749503
1994.8808219178081,986.74007302057
1994.8835616438357,986.733823006041
1994.886301369863,986.734450109303
1994.8890410958904,986.736779673956
1994.8917808219178,986.730411554687
1994.8945205479451,986.732900322415
1994.8972602739725,986.736860215664
1994.9,986.744205448776
1994.9027397260274,986.738030145876
1994.9054794520548,986.741735789925
1994.9082191780822,986.735903221183
1994.9109589041095,986.738440046087
1994.9136986301369,986.731576598249
1994.9164383561645,986.730151267722
1994.9191780821918,986.736417455599
1994.9219178082192,986.739598792978
1994.9246575342465,986.736985248514
1994.927397260274,986.73172241915
1994.9301369863015,986.737429345958
1994.9328767123288,986.73657135386
1994.9356164383562,986.734863341786
1994.9383561643835,986.733188195154
1994.941095890411,986.733788236044
1994.9438356164383,986.734642834403
1994.9465753424658,986.737017989159
1994.9493150684932,986.749963119626
1994.9520547945206,986.731692837551
1994.954794520548,986.744010267779
1994.9575342465753,986.731959863566
1994.9602739726026,986.735910554416
1994.9630136986302,986.73928509932
1994.9657534246576,986.743021615781
1994.968493150685,986.731832236983
1994.9712328767123,986.729571396485
1994.9739726027397,986.73662805371
1994.9767123287672,986.734435864724
1994.9794520547946,986.731534788385
1994.982191780822,986.731926334091
1994.9849315068493,986.731991136447
1994.9876712328767,986.72978680674
1994.990410958904,986.733418887481
1994.9931506849316,986.737271174788
1994.995890410959,986.727157790214
1994.9986301369863,986.724624217488
1995.0013698630137,986.722730863839
1995.004109589041,986.725060789846
1995.0068493150684,986.741729419678
1995.009589041096,986.739786836319
1995.0479452054794,986.72051897645
1995.0506849315068,986.722246165387
1995.0534246575342,986.725707072765
1995.0561643835617,986.725821858272
1995.058904109589,986.727182900533
1995.0616438356165,986.729190663435
1995.0643835616438,986.755266957916
1995.0780821917808,986.757623245008
1995.0808219178082,986.723733536899
1995.0835616438355,986.734982726164
1995.0863013698631,986.727842361666
1995.0890410958905,986.734787036665
1995.0917808219178,986.729891411029
1995.0945205479452,986.734451228753
1995.0972602739726,986.72792268265
1995.1,986.729958384298
1995.1027397260275,986.732878375798
1995.1054794520549,986.732659201138
1995.1082191780822,986.724511086941
1995.1109589041096,986.733399291523
1995.113698630137,986.729288795963
1995.1164383561643,986.736593512818
1995.1191780821919,986.72395294439
1995.1219178082192,986.741664680652
1995.1246575342466,986.738015159965
1995.127397260274,986.732186901383
1995.1301369863013,986.725870964117
1995.1328767123289,986.724424645305
1995.1356164383562,986.725218194537
1995.1383561643836,986.733965636231
1995.141095890411,986.739100722596
1995.1438356164383,986.724763558246
1995.1465753424657,986.728429476731
1995.1493150684933,986.71564831771
1995.1520547945206,986.736019399017
1995.154794520548,986.729484304786
1995.1575342465753,986.727954686619
1995.1602739726027,986.727717619389
1995.16301369863,986.719543736428
1995.1657534246576,986.732315118425
1995.168493150685,986.72937189322
1995.1712328767123,986.741573547013
1995.1739726027397,986.741477909498
1995.176712328767,986.752836362459
1995.1794520547944,986.724148898385
1995.182191780822,986.724996171892
1995.1849315068494,986.731117424555
1995.1876712328767,986.734908071347
1995.190410958904,986.771689333022
1995.1931506849314,986.74373847805
1995.195890410959,986.729052070528
1995.1986301369864,986.728540601209
1995.2013698630137,986.739695778117
1995.204109589041,986.730575339869
1995.2068493150684,986.730583650991
1995.2095890410958,986.731901275925
1995.2123287671234,986.728615584783
1995.2150684931507,986.736987645738
1995.217808219178,986.731715955772
1995.2205479452055,986.725510393269
1995.2232876712328,986.724216779694
1995.2260273972602,986.730947755277
1995.2287671232878,986.733717772178
1995.231506849315,986.727201741189
1995.2342465753425,986.720750399865
1995.2369863013698,986.729477479123
1995.2397260273972,986.730932919309
1995.2424657534248,986.717369566672
1995.2452054794521,986.727304338478
1995.2479452054795,986.726661569439
1995.2506849315068,986.730394737795
1995.2534246575342,986.731559963897
1995.2589041095891,986.735034528188
1995.2616438356165,986.740778706968
1995.2643835616439,986.733478202485
1995.2671232876712,986.734609016217
1995.2698630136986,986.732233253308
1995.272602739726,986.73269493971
1995.2753424657535,986.729750089347
1995.2780821917809,986.728683631867
1995.2808219178082,986.731466502883
1995.2835616438356,986.728551905602
1995.286301369863,986.731719228439
1995.2890410958903,986.734504742548
1995.2945205479452,986.730345699005
1995.2972602739726,986.736276467331
1995.3,986.729924622923
1995.3027397260273,986.737208799459
1995.305479452055,986.737957209349
1995.3082191780823,986.734015591443
1995.3109589041096,986.734666240402
1995.313698630137,986.737005436793
1995.3164383561643,986.734353392385
1995.3191780821917,986.740345772356
1995.3219178082193,986.741675877944
1995.3246575342466,986.739874289371
1995.327397260274,986.73862573877
1995.3301369863013,986.741285605356
1995.3328767123287,986.734095418826
1995.335616438356,986.73161075823
1995.3383561643836,986.732423889451
1995.341095890411,986.735707211308
1995.3438356164384,986.735705330968
1995.3465753424657,986.730088924058
1995.349315068493,986.730584083125
1995.3520547945207,986.733346523717
1995.354794520548,986.730733891949
1995.3575342465754,986.739727423526
1995.3602739726027,986.730088771321
1995.36301369863,986.742876495235
1995.3657534246574,986.731400070712
1995.368493150685,986.725718232803
1995.3712328767124,986.72765537072
1995.3739726027397,986.729623794556
1995.376712328767,986.741938108578
1995.3794520547945,986.735704993829
1995.3821917808218,986.738434405997
1995.3849315068494,986.734824694693
1995.3876712328768,986.742530106567
1995.390410958904,986.7386918189
1995.3958904109588,986.787493604235
1995.3986301369864,986.734440389089
1995.4013698630138,986.739531438798
1995.4041095890411,986.736043239944
1995.4068493150685,986.726849053986
1995.4095890410958,986.730584536679
1995.4123287671232,986.73428997118
1995.4150684931508,986.730116480961
1995.4178082191781,986.733940096572
1995.4205479452055,986.736913186498
1995.4232876712329,986.735247882083
1995.4260273972602,986.743262670003
1995.4287671232876,986.732746505179
1995.4315068493152,986.734001268633
1995.4342465753425,986.730048130266
1995.4369863013699,986.729511634447
1995.4397260273972,986.730704010464
1995.4424657534246,986.737320913933
1995.445205479452,986.747588774189
1995.4479452054795,986.743749414571
1995.4506849315069,986.741654863581
1995.4534246575342,986.741773662157
1995.4561643835616,986.719086502679
1995.458904109589,986.725024285726
1995.4616438356165,986.734863208607
1995.464383561644,986.726040342823
1995.4671232876713,986.734563497826
1995.4698630136986,986.731119995005
1995.472602739726,986.731712002307
1995.4753424657533,986.734131617472
1995.478082191781,986.733112767339
1995.4808219178083,986.7334034862
1995.4835616438356,986.734183677472
1995.486301369863,986.743010365404
1995.4890410958903,986.740680269897
1995.4917808219177,986.731704693288
1995.4945205479453,986.73577297572
1995.4972602739726,986.72817199491
1995.5,986.732577773742
1995.5027397260274,986.739987354726
1995.5054794520547,986.738125950098
1995.5082191780823,986.742377016693
1995.5109589041097,986.734219508246
1995.513698630137,986.734152756631
1995.5164383561644,986.732502578758
1995.5191780821917,986.735359013081
1995.521917808219,986.73673793301
1995.5246575342467,986.735556837171
1995.527397260274,986.738625008613
1995.5301369863014,986.740707515739
1995.5328767123287,986.702864423394
1995.5684931506848,986.778303056024
1995.5739726027398,986.732036914676
1995.5767123287671,986.744428076781
1995.5794520547945,986.705108110793
1995.5904109589042,986.741606751457
1995.5931506849315,986.740773443133
1995.5958904109589,986.743318906985
1995.5986301369862,986.741517979652
1995.6013698630136,986.739939561114
1995.6041095890412,986.739141268656
1995.6068493150685,986.74425106775
1995.609589041096,986.737554328516
